epoch,lr-Adam,step,train_loss,val_MAE,val_MAPE,val_RMSE,val_SMAPE,val_loss
,0.0003,0,,,,,,
0,,345,,277785.03125,405939.65625,108.80062866210938,277779.25,277781.96875
0,,345,4.504958629608154,,,,,
,0.0003,346,,,,,,
1,,691,,277785.0,399196.5625,108.7602767944336,277779.28125,277781.78125
1,,691,4.137772560119629,,,,,
,0.0003,692,,,,,,
2,,1037,,277785.28125,426080.75,109.03608703613281,277779.125,277782.03125
2,,1037,3.946477174758911,,,,,
,0.0003,1038,,,,,,
3,,1383,,277784.90625,391803.875,108.70350646972656,277779.1875,277781.90625
3,,1383,3.8211638927459717,,,,,
,0.0003,1384,,,,,,
4,,1729,,277784.875,403049.125,108.6809310913086,277779.25,277781.875
4,,1729,3.748030662536621,,,,,
,0.0003,1730,,,,,,
5,,2075,,277785.21875,457245.15625,109.00302124023438,277779.15625,277782.15625
5,,2075,3.6754651069641113,,,,,
,0.00015,2076,,,,,,
6,,2421,,277784.9375,451555.5625,108.8020248413086,277779.1875,277782.0625
6,,2421,3.5792572498321533,,,,,
